aalii,aa|0|aah|0|ooh|0
aardvark,anteater|0
abaca,aba|0|banana|0
aback,back|0|backward|0|rearward|0|regressively|0
abaft,aft|0|astern|0
abalienate,alienate|0|convey|0|demise|0|estrange|0|transfer|0
abalienation,alienation|0|conveyance|0|demise|0|transfer|0
abalone,ear-shell|0|gastropod|0
abamp,abampere|0
abandon,abjure|0|cede|0|demit|0|desert|0|desolate|0|drop|0|empty|0|evacuate|0|forego|0|forsake|0|forswear|0|leave|0|quit|0|relinquish|0|renounce|0|resign|0|surrender|0|unconstraint|0|vacate|0|waive|0|wantonness|0|wildness|0|yield|0|jilt|0
abandoned,corrupt|0|corrupted|0|demitted|0|demoralized|0|depraved|0|derelict|0|deserted|0|discarded|0|dissolute|0|forsaken|0|graceless|0|hardened|0|impenitent|0|incorrigible|0|irreclaimable|0|lost|0|obdurate|0|profligate|0|rejected|0|relinquished|0|reprobate|0|shameless|0|sinful|0|unprincipled|0|vicious|0|wicked|0
abandonment,abandoning|0|abjuration|0|abnegation|0|cession|0|defection|0|demission|0|dereliction|0|desertion|0|forsaking|0|rejection|0|relinquishment|0|renunciation|0|resignation|0|surrender|0
abase,chagrin|0|debase|0|degrade|0|depress|0|detrude|0|disgrace|0|dishonor|0|drop|0|humble|0|humiliate|0|lower|0|mortify|0|reduce|0|sink|0|stoop|0
abasement,abjection|0|abjectness|0|baseness|0|condescension|0|contemptibleness|0|debasement|0|degeneracy|0|degeneration|0|degradation|0|depravation|0|depression|0|despicableness|0|deterioration|0|detrusion|0|fall|0|humbleness|0|humiliation|0|humility|0|ignominy|0|infamy|0|lowering|0|lowliness|0|meekness|0|perversion|0|reduction|0|resignation|0|submission|0|submissiveness|0|turpitude|0|vileness|0|vitiation|0
abash,confound|0|confuse|0|cow|0|discompose|0|disconcert|0|embarrass|0|humble|0|humiliate|0|mortify|0|shame|0|snub|0|upset|0
abashed,chagrined|0|embarrassed|0|confounded|0|confused|0|cowed|0|discomposed|0|disconcerted|0|humbled|0|humiliated|0|mortified|0
abashment,bashfulness|0|confusion|0|embarrassment|0|mortification|0|shame|0
abasic,abatic|0
abate,slack|0|slake|0|decrease|0
abatement,allowance|0|assuagement|0|decline|0|decrease|0|decrement|0|deduction|0|diminution|0|discount|0|drawback|0|ebb|0|evanishing|0|evanishment|0|extenuation|0|fading|0|hiatus|0|lessening|0|lowering|0|mitigation|0|moderation|0|rebate|0|reduction|0|remission|0|reprieve|0|respite|0|settling|0|sinking|0|subsidence|0|suspension|0|wane|0
abatis,abattis|0
abattoir,butchery|0|shambles|0|slaughterhouse|0|slaughter-house|0|slaughter-pen|0
abaxial,dorsal|0
abbess,prioress|0
abbey,cloister|0|convent|0|monastery|0|nunnery|0|priory|0|friary|0|convert|0
abbot,archimandrite|0
abbreviate,abridge|0|compress|0|condense|0|contract|0|curtail|0|cut|0|epitomize|0|foreshorten|0|reduce|0|retrench|0|shorten|0|divide|0|chop|0|intersect|0|decrease|0|incision|0|section|0
abbreviated,brief|0|shortened|0|truncated|0|skimpy|0|revealing|0|short|0|abridged|0|compressed|0|condensed|0|curtailed|0|epitomized|0|foreshortened|0|reduced|0|retrenched|0|intersected|0
abbreviation,abstract|0|brief|0|compend|0|compendium|0|compression|0|condensation|0|contraction|0|curtailment|0|epitome|0|reduction|0|shortening|0|abridgement|0|initialism|0
abbreviator,abridger|0|redact|0
abcense,absence|0
abdicate,renounce|0|giveup|0|disclaim|0|waive|0|disown|0|surrender|0|vacate|0
abdication,abandonment|0|abdicating|0|renunciation|0|resignation|0|surrender|0
abdomen,belly|0|paunch|0|stomach|0|venter|0|cavity|0
abdominal,ab|0|ventral|0
abdominocentesis,paracentesis|0|centesis|0
abdominous,big-bellied|0|great-bellied|0|large-bellied|0|paunchy|0|potbellied|0|pot-bellied|0|tun-bellied|0
abdominousness,paunchiness|0|fatness|0
abduce,adduce|0|cite|0|retract|0|withdraw|0
abducens,abducent|0
abducent,abducting|0|abducens|0
abduct,kidnap|0|nobble|0|snatch|0|carryoff|0|makeaway|0|offwith|0|seize|0
abduction,kidnapping|0|withdrawal|0|withdrawing|0|withdrawment|0
abductor,kidnaper|0|kidnapper|0|snatcher|0
aberdevine,siskin|0
aberrance,aberrancy|0|aberration|0|departure|0|deviance|0|deviation|0|error|0|roaming|0|roving|0|wandering|0
aberrancy,aberration|0|deviance|0
aberrant,abnormal|0|anomalistic|0|anomalous|0|deviant|0|deviate|0|deviating|0|devious|0|disconnected|0|divergent|0|diverging|0|eccentric|0|erratic|0|exceptional|0|idiotic|0|inconsequent|0|irregular|0|monstrous|0|peculiar|0|preternatural|0|rambling|0|singular|0|strange|0|unconformable|0|unnatural|0|unusual|0|wandering|0
aberration,abnormity|0|anomaly|0|delusion|0|departure|0|deviance|0|deviation|0|distortion|0|divergence|0|eccentricity|0|hallucination|0|illusion|0|irregularity|0|monomania|0|monstrosity|0|peculiarity|0|rambling|0|self-deception|0|singularity|0|strangeness|0|unconformity|0|wandering|0
abet,advocate|0|aid|0|assist|0|back|0|countenance|0|embolden|0|encourage|0|favor|0|foment|0|help|0|incite|0|instigate|0|sanction|0|second|0|stimulate|0|subsidize|0|succor|0|support|0|sustain|0|uphold|0|urge|0|provoke|0|eggon|0
abetment,abettal|0|instigation|0|encouragement|0
abettal,instigation|0|abetment|0
abetter,abettor|0|accessory|0
abettor,accessory|0|accomplice|0|adviser|0|advocate|0|aider|0|ally|0|assistant|0|auxiliary|0|coadjutor|0|confederate|0|co-operator|0|helper|0|instigator|0|promoter|0
abeyance,anticipation|0|calculation|0|contemplation|0|dormancy|0|expectancy|0|expectation|0|intermission|0|prospect|0|quiescence|0|remission|0|reservation|0|sublation|0|suppression|0|suspendedness|0|suspense|0|suspension|0|waiting|0|inabeyancepending|0|abeyant|0|reserved|0|inreserve|0|shelved|0|pushed|0|shoved|0|shuntedaside|0|inaction|0
abeyant,dormant|0|inactive|0
abhor,abominate|0|detest|0|execrate|0|hate|0|loathe|0|nauseate|0
abhorrence,abomination|0|antipathy|0|aversion|0|detestation|0|disgust|0|execration|0|hatred|0|horror|0|loathing|0|odium|0
abhorrent,abominating|0|detestable|0|detesting|0|hateful|0|hating|0|horrible|0|horrifying|0|loathing|0|loathsome|0|nauseating|0|obscene|0|odious|0|offensive|0|repellent|0|repugnant|0|repulsive|0|revolting|0|shocking|0|abhorred|0|abominable|0|contemptible|0
abidance,compliance|0|conformation|0|conformity|0|residence|0|residency|0
abide,bear|0|brook|0|digest|0|endure|0|stand|0|stomach|0|suffer|0|submitto|0|putupwith|0|stay|0
abiding,changeless|0|constant|0|continuing|0|durable|0|enduring|0|immutable|0|imperishable|0|lasting|0|permanent|0|stable|0|unchangeable|0|steadfast|0|everlasting|0|unending|0
ability,ableness|0|address|0|adroitness|0|aptitude|0|aptness|0|calibre|0|capableness|0|cleverness|0|competency|0|dexterity|0|efficacy|0|efficiency|0|endowment|0|energy|0|expertness|0|facility|0|faculty|0|force|0|forte|0|genius|0|gift|0|ingenuity|0|knack|0|might|0|parts|0|potency|0|power|0|qualification|0|quickness|0|readiness|0|skilfulness|0|skill|0|strength|0|sufficiency|0|talent|0|turn|0|vigor|0|adeptness|0|bent|0|capability|0|capacity|0|command|0|competence|0|comprehension|0|expertise|0|intelligence|0|know-how|0|cognition|0|part|0
abiogenesis,autogenesis|0|autogeny|0
abject,base|0|base-minded|0|beggarly|0|contemptible|0|cringing|0|degraded|0|despicable|0|dirty|0|earth-born|0|earth-bred|0|grovelling|0|ignoble|0|low|0|low-down|0|low-minded|0|mean|0|menial|0|miserable|0|paltry|0|pitiful|0|poor|0|scummy|0|scurvy|0|servile|0|shabby|0|slavish|0|sneaking|0|sordid|0|squalid|0|unhopeful|0|vile|0|worthless|0|wretched|0
abjection,degradation|0|humbling|0|humiliation|0|abasement|0
abjectly,resignedly|0
abjectness,abjection|0|baseness|0|contemptibleness|0|meanness|0|servility|0|vileness|0
