привет,здорово|0|здравствуй|0
здравствуй,привет|0|здорово|0|здравствуйте|0
условия,данные|0
вхождение,вступление|0
нередко,зачастую|0|неоднократно|0|частенько|0|часто|0
непонимание,недопонимание|0
непониманию,недопониманию|0
продвижение,движение|0
захват,завладение|0
завладение,захват|0
захватом,завладением|0
борьба,единоборство|0
чаще,почаще|0
почаще,чаще|0
оборонительный,защитный|0|фортификационный|0
фортификационный,оборонительный|0
защитный,оборонительный|0
удивительный,ошеломительный|0|чудесный|0|восхитительный|0
удивительным,ошеломительным|0|чудесным|0|восхитительным|0
против,вопреки|0|супротив|0
вопреки,против|0
супротив,против|0
начало,предисловие|0
вскоре,скоро|0
недавно,незадолго|0
незадолго,недавно|0
посольство,представительство|0
чтобы,дабы|0
дабы,чтобы|0
обстановка,атмосфера|0
достаточно,довольно|0
довольно,достаточно|0
численность,количество|0
примерно,приблизительно|0
приблизительно,примерно|0
тысячу,1000|0
наиболее,особенно|0
ответ,результат|0
неожиданно,невзначай|0|непредвиденно|0
невзначай,неожиданно|0
наказ,указ|0
известно,вестимо|0|знаменито|0
современное,нынешнее|0
положение,расположение|0
гипотеза,догадка|0
догадка,гипотеза|0
подтверждение,доказательство|0
доказательство,подтверждение|0
однако,впрочем|0
впрочем,однако|0
примыкание,присоединение|0
присоединение,прикрепление|0
прикрепление,присоединение|0
дань,подать|0
данью,податью|0
гнев,бешенство|0
хозяин,владелец|0
хозяина,владельца|0
изнурительный,утомительный|0
утомительный,изнурительный|0
изнурительных,утомительных|0
утомительных,изнурительных|0
подробно,детально|0
трех,3|0
точнее,вернее|0
вернее,точнее|0|правильней|0
количество,число|0
практически,фактически|0
существенный,значительный|0
значительный,существенный|0
вклад,взнос|0
взнос,вклад|0
изучение,постижение|0
меньше,поменьше|0
прибыль,выручка|0
прибыли,выручки|0
постоянные,непрерывные|0
непрерывные,постоянные|0
нужно,необходимо|0|надобно|0
необходимо,нужно|0
владелец,обладатель|0
обладатель,владелец|0
концепция,доктрина|0
доктрина,концепция|0
реферат,доклад|0
уверенность,убежденность|0
убежденность,уверенность|0
название,наименование|0
наименование,название|0
оппортунизм,беспринципность|0
ликвидация,истребление|0
шпион,агент|0
агент,шпион|0
шпионов,агентов|0
агентов,шпионов|0
апогей,венец|0
венец,апогей|0
наоборот,напротив|0
напротив,наоборот|0
современный,теперешний|0
пожалуй,вероятно|0
появление,происхождение|0|возникновение|0
плеяда,группа|0
плеяды,группы|0
развитие,становление|0
литература,письменность|0
развивалась,эволюционировала|0|прогрессировала|0
потребность,надобность|0
надобность,потребность|0
независимо,самостоятельно|0|само­стоятельно|0
неведомы,неизвестны|0
неизвестны,неведомы|0|незнакомы|0
священник,священнослужитель|0
священнослужитель,священник|0
митрополит,епископ|0
епископ,митрополит|0
яркий,блестящий|0
яркие,блестящие|0
главенство,верховенство|0
верховенство,главенство|0
постепенно,потихоньку|0|понемножку|0|понемногу|0|помаленьку|0
обычно,традиционно|0|обыкновенно|0
традиционно,обычно|0
собор,храм|0
мастерски,профессионально|0
профессионально,мастерски|0
риторика,красноречие|0
печаль,грусть|0|горечь|0
грусть,печаль|0
радость,веселье|0
всякий,любой|0|каждый|0
можно,дозволено|0
эквивалентно,равнозначно|0
равнозначно,эквивалентно|0
эквивалентный,равнозначный|0
равнозначный,эквивалентный|0
поэтому,следственно|0
универсальный,многофункциональный|0
многофункциональный,универсальный|0
универсальной,многофункциональной|0
многофункциональной,универсальной|0
замысел,план|0
большие,крупные|0|огромные|0
крупные,большие|0|огромные|0
духовно,душевно|0
нравственно,морально|0|этично|0
морально,нравственно|0
этично,нравственно|0
духовный,нравственный|0
нравственный,моральный|0
моральный,нравственный|0
одновременно,единовременно|0
единовременно,одновременно|0
трагическая,печальная|0
печальная,трагическая|0|грустная|0
судьба,участь|0
неизбежный,неминуемый|0|неотвратимый|0
неминуемый,неизбежный|0
неотвратимый,неизбежный|0
неизбежной,неминуемой|0|неотвратимой|0
неминуемой,неизбежной|0
суровый,грозный|0
суровые,грозные|0
сопоставляя,сравнивая|0
сравнивая,сопоставляя|0
деятельность,действие|0
самоотверженно,доблестно|0
доблестно,самоотверженно|0|благородно|0
преимущественно,предпочтительно|0
вследствие,витоге|0
своеобразный,неповторимый|0|оригинальный|0
своеобразную,неповторимую|0|оригинальную|0
нравственные,моральные|0
моральные,нравственные|0
духовные,нравственные|0
искания,поиски|0
поиски,искания|0
гораздо,значительно|0
значительно,гораздо|0
тесно,узко|0
счастье,блаженство|0
блаженство,счастье|0|счастие|0
гибнет,пропадает|0|умирает|0
забыть,позабыть|0
позабыть,забыть|0
испробовать,попробовать|0
натура,естество|0
вновь,опять|0
опять,вновь|0
невозможно,нереально|0|немыслимо|0
нереально,невозможно|0
горечью,печалью|0
печалью,горечью|0
действительность,реальность|0
реальность,действительность|0
настигла,догнала|0
безделье,бездействие|0
безделья,бездействия|0
раньше,прежде|0
прежде,раньше|0
конфликт,раздор|0
раздор,конфликт|0
конфликта,раздора|0
раздора,конфликта|0
вначале,сначала|0
сначала,вначале|0
лукавят,лицемерят|0
лукавец,лицемер|0
внешне,наружно|0
набожность,религиозность|0
религиозность,набожность|0
набожностью,религиозностью|0
религиозностью,набожностью|0
лицемерно,лживо|0|притворно|0
лживо,лицемерно|0
лицемер,лжец|0
лицемерят,лгут|0|притворяются|0
следовательно,следственно|0
следственно,следовательно|0
здесь,тут|0
тут,здесь|0
разгадка,отгадка|0
отгадка,разгадка|0
почему,отчего|0
отчего,почему|0
теперь,сейчас|0
эгоистической,самолюбивой|0
эгоист,самолюбец|0
самолюбец,эгоист|0
самолюбивой,эгоистической|0
недоразумение,неувязка|0
неувязка,недоразумение|0
недоразумения,неувязки|0
неувязки,недоразумения|0
благоразумие,благомыслие|0
благомыслие,благоразумие|0
напуган,испуган|0
испуган,напуган|0
неблагоразумно,безрассудно|0|неразумно|0
безрассудно,неблагоразумно|0|безмозгло|0
неразумно,неблагоразумно|0
неправда,выдумка|0
выдумка,неправда|0
ложь,вранье|0
вранье,ложь|0
обман,подлог|0
подлог,обман|0
гадко,гнусно|0|мерзко|0|пакостно|0
гнусно,гадко|0|мерзко|0|мерзостно|0|пакостно|0|скверно|0
мерзко,гадко|0|гнусно|0
пакостно,гадко|0|гнусно|0
несомненно,бесспорно|0
официальный,формальный|0
естественный,обычный|0|натуральный|0
высшая,наивысшая|0
современной,нынешней|0
наряду,наравне|0
введение,вступление|0
использовать,применять|0
применять,использовать|0
неминуемо,неизбежно|0|неотвратимо|0
неизбежно,неминуемо|0|неотвратимо|0
неотвратимо,неминуемо|0|неизбежно|0
далее,дальше|0
предположим,представим|0
представим,предположим|0
преувеличение,приукрашивание|0
различие,отличие|0
отличие,различие|0
преодоление,преодолевание|0
преодолевание,преодоление|0
превращение,перевоплощение|0
перевоплощение,превращение|0
многообразие,разнообразие|0
разнообразие,многообразие|0
ситуация,обстановка|0
радикальный,кардинальный|0|коренной|0
кардинальный,радикальный|0
радикальных,кардинальных|0|коренных|0
кардинальных,радикальных|0
сформировалась,произошла|0
индивидуальный,личный|0
личный,индивидуальный|0
индивидуальной,личной|0
личной,индивидуальной|0
ускорение,убыстрение|0
убыстрение,ускорение|0
концентрация,насыщенность|0
насыщенность,концентрация|0
потребностям,надобностям|0
всеобъемлющее,всеохватывающее|0
всеохватывающее,всеобъемлющее|0
законодательство,право|0
имущество,собственность|0
институт,университет|0
университет,институт|0
важный,значимый|0|главный|0
значимый,важный|0
примечательно,знаменательно|0
индустриальный,промышленный|0
промышленный,индустриальный|0
независимый,самостоятельный|0|само­стоятельный|0
самостоятельный,независимый|0
независимых,самостоятельных|0|само­стоятельных|0
самостоятельных,независимых|0
большое,огромное|0|крупное|0
исследование,изыскание|0
продолжительность,длительность|0
длительность,продолжительность|0
продолжительности,длительности|0
длительности,продолжительности|0
эффективный,результативный|0
результативный,эффективный|0
эффективности,результативности|0|производительности|0
результативности,эффективности|0
использование,применение|0
применение,использование|0
использования,применения|0
применения,использования|0
классификация,систематизация|0
систематизация,классификация|0
разнообразный,разновидный|0|многообразный|0
разновидный,разнообразный|0
разнообразны,разновидны|0|многообразны|0
законодательством,правом|0
классифицироваться,систематизироваться|0
систематизироваться,классифицироваться|0
исследования,изыскания|0
изыскания,исследования|0
аббревиатура,сокращение|0
аббревиатуры,сокращения|0
абсолютно,безусловно|0
абсолютной,безусловной|0
абсолютные,безусловные|0
абсолютный,безусловный|0
абсурдно,глупо|0|бредово|0|нелепо|0
авантюрист,прощелыга|0
прощелыга,авантюрист|0
авиатор,летчик|0
автоматический,механический|0
автономный,самостоятельный|0
авторитетный,влиятельный|0
администратор,менеджер|0
менеджер,администратор|0
администраторы,менеджеры|0
академик,профессор|0
аккумулировались,накапливались|0
актер,артист|0
артист,актер|0
актера,артиста|0
артиста,актера|0
активист,общественник|0
активно,энергично|0
актриса,артистка|0
артистка,актриса|0
актрису,артистку|0
артистку,актрису|0
актуальна,востребована|0
востребована,актуальна|0
актуальность,востребованость|0
востребованость,актуальность|0
алгоритм,алгорифм|0
алгорифм,алгоритм|0
алчно,жадно|0|ненасытно|0
жадно,алчно|0
ненасытно,алчно|0|прожорливо|0
жадному,алчному|0
алчный,жадный|0
алый,красный|0
красный,алый|0
американский,заокеанский|0
американской,заокеанской|0
аналогичное,схожее|0
схожее,аналогичное|0
аналогичные,схожие|0
схожие,аналогичные|0
аналогичных,схожих|0
схожих,аналогичных|0
античность,древность|0
апелляция,жалоба|0
аплодировать,хлопать|0
аппарат,агрегат|0
агрегат,аппарат|0
аргумент,довод|0
довод,аргумент|0
аргументировать,обосновывать|0
арестанты,заключенные|0
заключенные,арестанты|0
армейский,военный|0
военный,армейский|0
архитектор,зодчий|0
зодчий,архитектор|0
ассистент,помощник|0
атлетический,спортивный|0
атрибут,признак|0
